Prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices
Categories,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism demand,Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand),Tourism (domestic demand)
Expenditures,Tourism expenditures,Total tourism commodities,Transportation,Transportation,Passenger rail transport,Interurban bus transport,Vehicle rental,Vehicle repairs and parts,Vehicle fuel,Other transportation,Accommodation,Food and beverage services,Other tourism commodities,Recreation and entertainment,Travel agency services,Pre-trip expenditures,Convention fees,Total other commodities,Tourism expenditures,Total tourism commodities,Transportation,Passenger air transport,Passenger rail transport,Interurban bus transport,Vehicle rental,Vehicle repairs and parts,Vehicle fuel,Other transportation,Accommodation,Food and beverage services,Other tourism commodities,Recreation and entertainment,Travel agency services,Pre-trip expenditures,Convention fees,Total other commodities,Tourism expenditures,Total tourism commodities,Transportation,Passenger air transport,Passenger rail transport,Interurban bus transport,Vehicle rental,Vehicle repairs and parts,Vehicle fuel,Other transportation,Accommodation,Food and beverage services,Other tourism commodities,Recreation and entertainment,Travel agency services,Pre-trip expenditures,Convention fees,Total other commodities,Tourism expenditures,Total tourism commodities,Transportation,Passenger air transport,Passenger rail transport,Interurban bus transport,Vehicle rental,Vehicle repairs and parts,Vehicle fuel,Other transportation,Accommodation,Food and beverage services,Other tourism commodities,Recreation and entertainment,Travel agency services,Pre-trip expenditures,Convention fees,Total other commodities
Q2 2007,17285,14544,6686,6686,70,247,392,335,1967,165,2630,2512,2716,1165,811,686,54,2741,17034,14237,6330,3120,69,195,250,506,2020,170,2471,2651,2785,1123,767,848,47,2797,13107,11174,5551,2849,40,155,267,314,1828,98,1607,1815,2201,707,767,686,41,1933,12952,10983,5273,2513,47,105,138,487,1866,117,1444,1972,2294,685,722,848,39,1969
Q3 2007,17369,14594,6593,6593,68,257,403,331,1925,166,2692,2551,2758,1196,816,693,53,2775,17214,14380,6401,3185,66,202,255,498,2026,169,2505,2671,2803,1133,766,858,46,2834,13260,11266,5482,2799,37,168,280,310,1790,98,1679,1853,2252,746,772,693,41,1994,13192,11162,5341,2569,43,114,147,479,1873,116,1498,1997,2326,709,720,858,39,2030
Q4 2007,17777,14986,6854,6854,68,264,414,335,2060,169,2718,2584,2830,1245,827,703,55,2791,17430,14568,6494,3268,67,207,259,495,2029,169,2514,2698,2862,1170,769,875,48,2862,13585,11583,5700,2868,36,179,282,313,1918,104,1694,1873,2316,788,783,703,42,2002,13346,11300,5403,2624,44,125,143,475,1875,117,1504,2009,2384,743,725,875,41,2046
Q1 2008,18213,15417,7285,7285,73,266,423,346,2209,172,2710,2597,2825,1210,857,702,56,2796,17565,14683,6644,3395,72,208,265,507,2026,171,2481,2705,2853,1140,790,876,47,2882,14118,12096,6129,3108,40,180,301,325,2069,106,1721,1911,2335,777,813,702,43,2022,13626,11528,5582,2756,48,126,158,488,1887,119,1505,2044,2397,736,746,876,39,2098
Q2 2008,18232,15408,7247,7247,71,265,414,343,2287,176,2739,2627,2795,1215,837,687,56,2824,17417,14508,6492,3290,71,206,262,499,1990,174,2477,2716,2823,1138,764,874,47,2909,14134,12079,6083,3001,39,177,288,322,2147,109,1748,1941,2307,782,794,687,44,2055,13511,11378,5434,2654,48,120,151,481,1857,123,1512,2062,2370,735,721,874,40,2133
Q3 2008,18348,15486,7283,7283,72,271,402,354,2338,187,2731,2650,2822,1247,835,683,57,2862,17262,14336,6356,3187,75,207,259,510,1950,168,2467,2704,2809,1137,748,875,49,2926,14312,12218,6148,2997,43,183,279,334,2193,119,1765,1976,2329,808,793,683,45,2094,13470,11313,5350,2593,53,123,149,493,1819,120,1532,2069,2362,739,707,875,41,2157
Q4 2008,17719,14852,6672,6672,70,269,402,337,1888,178,2703,2659,2818,1255,827,681,55,2867,17186,14261,6327,3134,73,207,255,486,2007,165,2426,2691,2817,1151,740,879,47,2925,13753,11662,5614,2907,42,183,274,317,1779,112,1726,1988,2334,824,785,681,44,2091,13443,11292,5358,2573,52,125,142,469,1879,118,1488,2067,2379,759,701,879,40,2151
Q1 2009,17286,14410,6315,6315,69,253,396,324,1737,175,2661,2632,2802,1277,818,653,54,2876,16905,14002,6134,2987,68,197,258,484,1987,153,2375,2648,2845,1161,777,860,47,2903,13538,11408,5341,2791,41,174,282,306,1632,115,1746,1988,2333,858,779,653,43,2130,13332,11169,5213,2453,48,118,156,468,1862,108,1476,2048,2432,791,741,860,40,2163
